retro_id,city,nickname,season,games
COL,Colorado,Rockies,1996,81
COL,Colorado,Rockies,1997,81
COL,Colorado,Rockies,1998,81
COL,Colorado,Rockies,1999,81
COL,Colorado,Rockies,2000,81
COL,Colorado,Rockies,2001,81
COL,Colorado,Rockies,2002,81
COL,Colorado,Rockies,2003,81
COL,Colorado,Rockies,2004,81
COL,Colorado,Rockies,2005,81
COL,Colorado,Rockies,2006,81
COL,Colorado,Rockies,2007,87
COL,Colorado,Rockies,2008,81
COL,Colorado,Rockies,2009,83
COL,Colorado,Rockies,2010,81
COL,Colorado,Rockies,2011,81
COL,Colorado,Rockies,2012,81
COL,Colorado,Rockies,2013,81
COL,Colorado,Rockies,2014,81
COL,Colorado,Rockies,2015,81
COL,Colorado,Rockies,2016,81
COL,Colorado,Rockies,2017,81
COL,Colorado,Rockies,2018,82
COL,Colorado,Rockies,2019,81
COL,Colorado,Rockies,2020,30
COL,Colorado,Rockies,2021,81
COL,Colorado,Rockies,2022,81
COL,Colorado,Rockies,2023,81
COL,Colorado,Rockies,2024,81
DET,Detroit,Tigers,1990,81
DET,Detroit,Tigers,1991,81
DET,Detroit,Tigers,1992,80
DET,Detroit,Tigers,1993,81
DET,Detroit,Tigers,1994,58
DET,Detroit,Tigers,1995,72
DET,Detroit,Tigers,1996,81
DET,Detroit,Tigers,1997,81
DET,Detroit,Tigers,1998,81
DET,Detroit,Tigers,1999,81
DET,Detroit,Tigers,2000,81
DET,Detroit,Tigers,2001,81
DET,Detroit,Tigers,2002,80
DET,Detroit,Tigers,2003,81
DET,Detroit,Tigers,2004,81
DET,Detroit,Tigers,2005,81
DET,Detroit,Tigers,2006,87
DET,Detroit,Tigers,2007,81
DET,Detroit,Tigers,2008,81
DET,Detroit,Tigers,2009,81
DET,Detroit,Tigers,2010,81
DET,Detroit,Tigers,2011,86
DET,Detroit,Tigers,2012,87
DET,Detroit,Tigers,2013,86
DET,Detroit,Tigers,2014,82
DET,Detroit,Tigers,2015,81
DET,Detroit,Tigers,2016,80
DET,Detroit,Tigers,2017,81
DET,Detroit,Tigers,2018,81
DET,Detroit,Tigers,2019,81
DET,Detroit,Tigers,2020,27
DET,Detroit,Tigers,2021,81
DET,Detroit,Tigers,2022,82
DET,Detroit,Tigers,2023,81
DET,Detroit,Tigers,2024,83
FLO,Florida,Marlins,1993,81
FLO,Florida,Marlins,1994,59
FLO,Florida,Marlins,1995,71
FLO,Florida,Marlins,1996,81
FLO,Florida,Marlins,1997,90
FLO,Florida,Marlins,1998,81
FLO,Florida,Marlins,1999,80
FLO,Florida,Marlins,2000,81
FLO,Florida,Marlins,2001,80
FLO,Florida,Marlins,2002,81
FLO,Florida,Marlins,2003,89
FLO,Florida,Marlins,2004,80
FLO,Florida,Marlins,2005,81
FLO,Florida,Marlins,2006,81
FLO,Florida,Marlins,2007,81
FLO,Florida,Marlins,2008,81
FLO,Florida,Marlins,2009,81
FLO,Florida,Marlins,2010,81
FLO,Florida,Marlins,2011,78
HOU,Houston,Astros,1990,81
HOU,Houston,Astros,1991,81
HOU,Houston,Astros,1992,81
HOU,Houston,Astros,1993,81
HOU,Houston,Astros,1994,59
HOU,Houston,Astros,1995,72
HOU,Houston,Astros,1996,81
HOU,Houston,Astros,1997,82
HOU,Houston,Astros,1998,83
HOU,Houston,Astros,1999,84
HOU,Houston,Astros,2000,81
HOU,Houston,Astros,2001,83
HOU,Houston,Astros,2002,81
HOU,Houston,Astros,2003,81
HOU,Houston,Astros,2004,86
HOU,Houston,Astros,2005,88
HOU,Houston,Astros,2006,81
HOU,Houston,Astros,2007,81
HOU,Houston,Astros,2008,80
HOU,Houston,Astros,2009,81
HOU,Houston,Astros,2010,81
HOU,Houston,Astros,2011,81
HOU,Houston,Astros,2012,81
HOU,Houston,Astros,2013,81
HOU,Houston,Astros,2014,81
HOU,Houston,Astros,2015,83
HOU,Houston,Astros,2016,81
HOU,Houston,Astros,2017,90
HOU,Houston,Astros,2018,86
HOU,Houston,Astros,2019,91
HOU,Houston,Astros,2020,33
HOU,Houston,Astros,2021,89
