Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tirso Ornelas","SDP",123,529,480,112,76,26,2,8,53,53,42,1,123,3,3,1,,4,2,0.23333333333333334,0.07939508506616257,0.23251417769376181,0.34146341463414637,0.29734848484848486,0.3458333333333333,0.28328484443831037,0.6431818181818182,0.11249999999999999,3.5864050162537557,0.29545454545454547,,-0.9687709100544453,49.0392985368768,-15.416272645195365,78.85698355067319,-0.9687709100544453,,-14.824873098482728,-2.1311287001116987,0.10221760572452021,,,,,,,,446.19999999999993,3.6276422764227636,446.19999999999993,3.6276422764227636,,,,,,,,,,,,,,,,,,,"Tirso Ornelas","22566",672359
"Johan Camargo","SFG",94,343,313,78,56,13,1,8,35,36,27,0,68,2,1,0,,0,1,0.24920127795527156,0.07871720116618076,0.19825072886297376,0.39705882352941174,0.3119533527696793,0.3738019169329074,0.301556749698372,0.6857552697025866,0.12460063897763582,2.2567059358983785,0.29411764705882354,,-1.077013551723212,37.00174064388307,-4.790813071524779,89.77898499395843,-1.077013551723212,,-5.4201813017596105,-5.219135802469136,0.10166086568132726,,,,,,,,326.5999999999999,3.474468085106382,326.5999999999999,3.474468085106382,,,,,,,,,,,,,,,,,,,"Johan Camargo","14950",622666
"Marcos Castañon","SDP",126,531,484,105,64,26,0,15,55,63,37,1,153,7,3,0,,0,1,0.21694214876033058,0.0696798493408663,0.288135593220339,0.24183006535947713,0.2806026365348399,0.36363636363636365,0.2811624977948531,0.6442390001712035,0.14669421487603307,1.69887436208287,0.28213166144200624,,-1.246526271570474,48.2887514438355,-16.410508098093267,77.43419594739791,-1.246526271570474,,-16.09096534784272,-0.9489418943092307,0.10062969738073593,,,,,,,,449.59999999999997,3.568253968253968,449.59999999999997,3.568253968253968,,,,,,,,,,,,,,,,,,,"Marcos Castanon","sa3016818",676203
"Jake Bauers","MIL",108,357,312,68,39,14,1,14,38,42,42,0,109,1,2,0,,7,2,0.21794871794871795,0.11764705882352941,0.30532212885154064,0.3853211009174312,0.31092436974789917,0.40384615384615385,0.31207766102141693,0.714770523594053,0.1858974358974359,4.214474481399091,0.28272251308900526,,-0.07597620319575071,41.63136348285517,-1.8670087515489155,95.21532932675024,-0.07597620319575071,,-2.19208856794247,-8.935185185185185,0.10045557779483094,,,,,,,,383.3999999999999,3.5499999999999994,383.3999999999999,3.5499999999999994,,,,,,,,,,,,,,,,,,,"Jake Bauers","15194",641343
"Matt Gorski","PIT",103,430,397,86,54,18,2,12,52,51,24,0,132,4,4,1,,13,2,0.21662468513853905,0.05581395348837209,0.30697674418604654,0.18181818181818182,0.26573426573426573,0.36272040302267,0.27234791542266634,0.6284546687569357,0.14609571788413095,6.27654182065842,0.28793774319066145,,1.1240238146856427,35.95604710339401,-16.436950265776176,65.9784986846346,1.1240238146856427,,-16.99940590036269,3.379952921158142,0.09937274128890444,,,,,,,,364.09999999999997,3.5349514563106794,364.09999999999997,3.5349514563106794,,,,,,,,,,,,,,,,,,,"Matt Gorski","25855",685301
"Alex Iadisernia","STL",112,488,445,99,64,19,4,12,57,55,33,1,126,7,1,2,,13,6,0.22247191011235956,0.06762295081967214,0.2581967213114754,0.2619047619047619,0.28600823045267487,0.36404494382022473,0.2841017539968196,0.6500531742728997,0.14157303370786517,6.175739651483284,0.2824675324675325,,-0.7260959544219077,45.5696034819667,-13.890356323045047,77.83535799957934,-0.7260959544219077,,-14.125917077824774,-1.4791886171546142,0.09795746641928849,,,,,,,,428,3.8214285714285716,428,3.8214285714285716,,,,,,,,,,,,,,,,,,,"Alex Iadisernia","sa3019867",805280
"Jack Winkler","OAK",107,445,406,85,62,17,2,4,42,36,29,0,113,7,2,1,,9,3,0.20935960591133004,0.0651685393258427,0.2539325842696629,0.25663716814159293,0.2725225225225225,0.29064039408866993,0.25287960563694034,0.5631629166111924,0.08128078817733989,5.095670162496912,0.27835051546391754,,-0.22133621852844954,30.01533324065921,-24.20532682743552,59.9850172452987,-0.22133621852844954,,-21.557445314905372,7.335067416554966,0.09612358393066417,,,,,,,,285,2.663551401869159,285,2.663551401869159,,,,,,,,,,,,,,,,,,,"Jack Winkler","29830",676466
"Eddinson Paulino","BOS",120,535,490,116,72,30,4,10,66,59,37,0,133,5,3,0,,13,4,0.23673469387755103,0.0691588785046729,0.2485981308411215,0.2781954887218045,0.2953271028037383,0.37551020408163266,0.2926174569352765,0.670837306885371,0.13877551020408163,6.105164192352539,0.3028571428571429,,0.03330377209931612,53.74217750013329,-11.444458761508697,79.52320062795731,0.03330377209931612,,-13.093180891382628,-4.2027340675367455,0.0959098813544082,,,,,,,,502.8999999999999,4.190833333333333,502.8999999999999,4.190833333333333,,,,,,,,,,,,,,,,,,,"Eddinson Paulino","sa3009538",682796
"Jimmy Govern","KCR",75,284,264,62,41,15,1,5,31,31,13,0,59,5,1,1,,2,1,0.23484848484848486,0.045774647887323945,0.20774647887323944,0.22033898305084745,0.2826855123674912,0.3560606060606061,0.27952838196771307,0.6387461184280973,0.12121212121212122,3.996775684848972,0.2835820895522388,,-0.47668033139780164,25.441324072320576,-9.162423027317407,71.6471632347598,-0.47668033139780164,,-10.124905621736678,1.343503833202528,0.09079802560120868,,,,,,,,234.39999999999998,3.125333333333333,234.39999999999998,3.125333333333333,,,,,,,,,,,,,,,,,,,"Jimmy Govern","sa3010166",687349
"Francisco Acuna","PIT",62,226,202,44,28,15,0,1,21,23,14,0,50,7,1,2,,3,1,0.21782178217821782,0.061946902654867256,0.22123893805309736,0.28,0.29017857142857145,0.3069306930693069,0.2687331398150751,0.5971092644978784,0.0891089108910891,3.7816509994944623,0.28289473684210525,,-0.19962909212335944,18.219357307219987,-9.317427356576438,63.55521032174741,-0.19962909212335944,,-10.403438670875396,3.630393838265726,0.09062830466548766,,,,,,,,163.19999999999996,2.632258064516128,163.19999999999996,2.632258064516128,,,,,,,,,,,,,,,,,,,"Francisco Acuna","sa3003291",672696
"Michael Pérez","BAL",77,260,234,45,31,7,0,7,22,26,22,1,73,2,1,1,,0,1,0.19230769230769232,0.08461538461538462,0.28076923076923077,0.3013698630136986,0.26640926640926643,0.31196581196581197,0.2564325755418733,0.5783750783750784,0.11965811965811965,1.4280734426738895,0.24516129032258063,,-0.8381547192111611,18.304245975088996,-13.375240806269723,60.164006236751696,-0.8381547192111611,,-13.24843477156319,5.276601998824221,0.08985376277920903,,,,,,,,173.29999999999995,2.25064935064935,173.29999999999995,2.25064935064935,,,,,,,,,,,,,,,,,,,"Michael Perez","12977",605421
"Sterlin Thompson","COL",93,398,363,95,63,22,1,9,44,51,24,1,84,9,2,0,,8,2,0.26170798898071623,0.06030150753768844,0.21105527638190955,0.2857142857142857,0.32160804020100503,0.4022038567493113,0.3151337535915807,0.7238118969503163,0.14049586776859507,4.485572630508262,0.3161764705882353,,0.02385719260200858,47.42272025895163,-1.0712633525128696,83.0503643777782,0.02385719260200858,,-8.33336398807496,-4.337625117248679,0.0854882633286357,,,,,,,,431.7,4.641935483870967,431.7,4.641935483870967,,,,,,,,,,,,,,,,,,,"Sterlin Thompson","sa3019999",694514
"Chase DeLauter","CLE",60,254,234,61,40,18,0,3,26,28,16,1,40,2,2,0,,3,2,0.2606837606837607,0.06299212598425197,0.15748031496062992,0.4,0.3110236220472441,0.37606837606837606,0.2987826711575504,0.6870919981156202,0.11538461538461536,3.06577406001056,0.3005181347150259,,-0.6833481243811548,26.815518884170878,-4.132902817618026,89.25423173173718,-0.6833481243811548,,-3.953769899256452,-3.8667256463492077,0.08452661734428232,,,,,,,,242.09999999999994,4.034999999999999,242.09999999999994,4.034999999999999,,,,,,,,,,,,,,,,,,,"Chase DeLauter","32127",800050
