retro_id,city,nickname,season,vegas_name
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
KCA,Kansas City,Royals,1990,Kansas City Royals
KCA,Kansas City,Royals,1991,Kansas City Royals
KCA,Kansas City,Royals,1992,Kansas City Royals
KCA,Kansas City,Royals,1993,Kansas City Royals
KCA,Kansas City,Royals,1994,Kansas City Royals
KCA,Kansas City,Royals,1995,Kansas City Royals
KCA,Kansas City,Royals,1996,Kansas City Royals
KCA,Kansas City,Royals,1997,Kansas City Royals
KCA,Kansas City,Royals,1998,Kansas City Royals
KCA,Kansas City,Royals,1999,Kansas City Royals
KCA,Kansas City,Royals,2000,Kansas City Royals
KCA,Kansas City,Royals,2001,Kansas City Royals
KCA,Kansas City,Royals,2002,Kansas City Royals
KCA,Kansas City,Royals,2003,Kansas City Royals
KCA,Kansas City,Royals,2004,Kansas City Royals
KCA,Kansas City,Royals,2005,Kansas City Royals
KCA,Kansas City,Royals,2006,Kansas City Royals
KCA,Kansas City,Royals,2007,Kansas City Royals
KCA,Kansas City,Royals,2008,Kansas City Royals
KCA,Kansas City,Royals,2009,Kansas City Royals
KCA,Kansas City,Royals,2010,Kansas City Royals
KCA,Kansas City,Royals,2011,Kansas City Royals
KCA,Kansas City,Royals,2012,Kansas City Royals
KCA,Kansas City,Royals,2013,Kansas City Royals
KCA,Kansas City,Royals,2014,Kansas City Royals
KCA,Kansas City,Royals,2015,Kansas City Royals
KCA,Kansas City,Royals,2016,Kansas City Royals
KCA,Kansas City,Royals,2017,Kansas City Royals
KCA,Kansas City,Royals,2018,Kansas City Royals
KCA,Kansas City,Royals,2019,Kansas City Royals
KCA,Kansas City,Royals,2020,Kansas City Royals
KCA,Kansas City,Royals,2021,Kansas City Royals
KCA,Kansas City,Royals,2022,Kansas City Royals
KCA,Kansas City,Royals,2023,Kansas City Royals
KCA,Kansas City,Royals,2024,Kansas City Royals
LAN,Los Angeles,Dodgers,1990,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,1991,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,1992,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,1993,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,1994,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,1995,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,1996,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,1997,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,1998,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,1999,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2000,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2001,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2002,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2003,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2004,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2005,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2006,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2007,Los Angeles Dodgers
LAN,Los Angeles,Dodgers,2008,Los Angeles Dodgers
